Molecular Weight,XLogP3-AA,Hydrogen Bond Donor Count,Hydrogen Bond Acceptor Count,Rotational bond count,Topological surface area,Heavy atom count,Complexity,LogS,DOSE,Weight(mg),Bulk Density,Tapped Density,Carrs Compressibility Index,Hausner Ratio,Angle of Repose,Thickness,Wetting time,Microcrystalline Cellulose,Mannitol,Magnesium Stearate,Talc,Sodium croscarmellose,Aspartame,Hydroxypropyl Cellulose (HPC),Gum,Chitosan,Sodium saccharin,Sodium lauryl sulfate(SLS),Sodium stearyl fumarate ,Polyvinylpyrrolidone (Crospovidone),Sodium starch glycolate,polyvinyl acetate,Lactose,Colloidal silicon dioxide (Aerosil),Citric acid,Menthol,B-cyclodextrin,Stevia leaf Powder ,Clove oil ,Starch,sodium bicarbonate (NaHCO3),Plantago ovata,Pharmaburst,parteck,Polyethylene Glycol,Eudragit EPO,Precirol,acesulfame potassium,Polacrilin Potassium,Acryflow-L,Indion,Lubritose,Sucralose,Silicon dioxide,Neotame,Sucrose,Ocimum sanctum seed powder,Agar,Calcium carbonate,Sodium Saccharine ,Prosolv ODT,Cellactose,Quinoline yellow lake,Aerosol,Sodium behenate,dibasic calcium phosphate,Mucilage powder,GNSP,Ludipress,Kaolin,Methyl paraben,Camphor,CPE,HARDNESS,FRIABILITY,Drug content,Water absorption ratio,DISINTEGRATION_TIME
608.2,7.86,1,5,12,98.6,42,898,-9.01,5.2,120,0,0,0,0,0,0,17.4,18,84.14,0.6,0,9,0.36,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.67,0.5,100.2,206.9,9.5
371.8,2.1,2,7,2,136,23,634,-4.37,8,100,0.463,0.543,14.81,1.18,19.42,5.1,0,81,0,2,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0.1088,93.6,0,372
371.8,2.1,2,7,2,136,23,634,-4.37,8,100,0.414,0.479,14.26,1.16,20.18,5,0,72,0,2,3,0,0,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0.1267,99.94,0,190
371.8,2.1,2,7,2,136,23,634,-4.37,8,100,0.395,0.444,13.17,1.15,19.95,5.2,0,69,0,2,3,0,0,0,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75,0.1188,97.6,0,102
371.8,2.1,2,7,2,136,23,634,-4.37,8,100,0.463,0.543,14.81,1.18,20.08,5,0,72,0,2,3,0,0,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0.1012,90.97,0,252
371.8,2.1,2,7,2,136,23,634,-4.37,8,100,0.471,0.569,14.3,1.18,19.88,4.9,0,69,0,2,3,0,0,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0.1147,98.72,0,218
371.8,2.1,2,7,2,136,23,634,-4.37,8,100,0.468,0.545,14.88,1.17,19.76,5.2,0,72,0,2,3,0,0,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0.1207,91.98,0,307
371.8,2.1,2,7,2,136,23,634,-4.37,8,100,0.466,0.549,15.11,1.17,19.82,5,0,69,0,2,3,0,0,0,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0.1023,99.4,0,280
354.2,4.3,2,5,7,75.6,23,411,-4.76,100,280,0,0,0,0,0,0,13,133,0,2,6,30,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0.24,0,0,16
354.2,4.3,2,5,7,75.6,23,411,-4.76,100,280,0,0,0,0,0,0,14,133,0,2,6,30,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0.25,0,0,17
